Latitude,Longitude
41.965220226,-87.65239478
41.747420231,-87.556455681
41.870450203,-87.633527509
41.881044607,-87.699499505
41.819179485,-87.627742991
41.94670237,-87.656117076
41.881742451,-87.750958339
41.896704058,-87.626309934
41.889974359,-87.715100836
41.699838941,-87.626090364
41.819293549,-87.693615364
41.763042921,-87.582368559
41.87046297,-87.720260149
41.891200669,-87.646460427
41.936778413,-87.648106932
41.872332627,-87.679608149
41.89498119,-87.748895094
41.780242159,-87.699517898
41.722095348,-87.662700581
41.703498822,-87.625028555
41.873699424,-87.704705156
41.872504842,-87.69362111
41.924869482,-87.691000038
41.779735395,-87.735002277
41.768699234,-87.618556602
41.925175473,-87.677650547
41.75929907,-87.612693997
41.92301979,-87.682699405
41.947317986,-87.649787936
41.900331411,-87.764534788
41.882470918,-87.627847625
41.936799488,-87.644291704
41.884331884,-87.627907944
41.899838241,-87.706693192
42.021587926,-87.665347927
41.861599705,-87.725032735
41.745498878,-87.560066292
41.764985259,-87.609203115
41.946241881,-87.655743334
41.882394062,-87.627844798
41.890771481,-87.745661087
41.882394062,-87.627844798
41.953439027,-87.746258499
41.860112257,-87.728659049
41.758979264,-87.567088206
42.016607113,-87.675302757
41.726390276,-87.604573971
41.7231342,-87.611757538
41.942573605,-87.655403581
41.94280287,-87.671177197
41.855762754,-87.726086481
41.771552614,-87.66400029
41.863196881,-87.614817819
41.894860902,-87.764285821
41.811216139,-87.61542838
41.865145359,-87.624098901
41.872508393,-87.662970084
42.004229465,-87.669344888
41.750301916,-87.667508315
41.963330053,-87.675079109
41.901931351,-87.710592186
41.861359279,-87.694400341
41.902840627,-87.677247286
41.683596628,-87.642105279
41.790045959,-87.646261611
41.945985449,-87.655536525
41.953443342,-87.744957048
41.723999615,-87.604516733
41.971185345,-87.676277944
41.833394209,-87.617007965
41.911475601,-87.634721791
41.879635559,-87.736131291
41.948190326,-87.654358906
41.802101704,-87.587747851
41.940527742,-87.810467758
41.896133693,-87.625489799
41.729618252,-87.551244573
41.885481891,-87.627935689
41.800379441,-87.686659159
41.878874134,-87.668003992
41.808986931,-87.612661906
41.918952529,-87.72987858
41.814162811,-87.603994347
42.000976799,-87.819494526
41.893047013,-87.685078837
41.81508969,-87.702615375
41.978991238,-87.659941972
41.852426043,-87.66063983
41.900505589,-87.699285044
41.900505589,-87.699285044
41.923393522,-87.686190127
41.935232446,-87.788272005
41.710054949,-87.64534513
41.951056226,-87.709165799
41.6848407,-87.660286954
41.744462438,-87.575857383
41.955466711,-87.67967467
41.828312721,-87.643607075
41.886393351,-87.765080772
41.758979264,-87.567088206
41.880632459,-87.733639652
41.955472204,-87.728232736
41.771044503,-87.591117282
41.8744151,-87.627609439
41.754270987,-87.64482916
41.887637259,-87.624555296
41.794533814,-87.631438536
41.903304304,-87.670064675
41.925465816,-87.647952398
41.821182269,-87.628550134
41.850628019,-87.732305005
41.771170158,-87.659135991
41.761773077,-87.573718532
41.888189539,-87.623777956
41.745782809,-87.721960773
41.971569982,-87.655585275
41.877822179,-87.655181405
41.887731576,-87.765439838
41.753973426,-87.665080861
41.978991238,-87.659941972
41.789865329,-87.652335983
41.952135026,-87.730800898
41.761706086,-87.60317387
41.966728607,-87.767445112
41.757532381,-87.629620823
41.903717735,-87.710571153
41.88249622,-87.624380767
41.943561681,-87.653110486
41.697105657,-87.681323493
41.824675709,-87.617013434
41.812958239,-87.696800092
41.928343156,-87.709824568
41.794678414,-87.623262756
41.776832515,-87.683577859
41.909664252,-87.742728815
41.771684034,-87.571017155
41.854271374,-87.624784323
41.891694878,-87.626155832
41.86821682,-87.6304532
41.877565688,-87.684893829
41.802101704,-87.587747851
41.871062044,-87.684933864
41.903979983,-87.76317261
41.875806459,-87.725503889
41.974388467,-87.666867389
41.911732262,-87.752728503
41.75578631,-87.666308154
41.824655644,-87.607261681
41.747091233,-87.63697957
41.788987036,-87.74147999
41.878850043,-87.701144226
41.925283003,-87.701229882
41.974773411,-87.806396207
41.874806486,-87.629676019
41.692542466,-87.626649941
41.859787209,-87.62565585
41.760941958,-87.640649068
41.894950378,-87.623622321
41.986383728,-87.664572158
41.9266523,-87.769732349
41.754592961,-87.741528537
41.759326916,-87.649118375
41.849030217,-87.710044807
41.917458544,-87.700112977
41.756227932,-87.636224774
41.865145359,-87.624098901
41.880355702,-87.626159693
41.910118499,-87.706254665
41.7335097,-87.560576484
41.933545942,-87.783343269
41.778830889,-87.649622352
41.865145359,-87.624098901
41.682318913,-87.67262824
41.772998982,-87.576478539
41.938476526,-87.774090236
41.993228887,-87.689735615
41.876850467,-87.702320584
41.781499104,-87.605955856
41.896170335,-87.709928246
41.884156522,-87.672708521
41.673474375,-87.657605233
41.924491602,-87.725945966
41.890944157,-87.705186172
41.882425241,-87.626221334
41.791542491,-87.658449505
41.865397377,-87.640660777
41.975729415,-87.654989539
41.908531722,-87.667633669
41.702737032,-87.535974085
41.775616981,-87.796836869
41.77640708,-87.690885165
41.771062585,-87.585020753
41.867257748,-87.638805019
41.90954372,-87.752454432
41.777655566,-87.771486099
41.880075611,-87.639628321
41.740448303,-87.542971518
41.878574487,-87.633743652
41.997706005,-87.691445314
41.909636288,-87.745300725
41.953443342,-87.744957048
41.79631327,-87.580898427
41.969795582,-87.65623657
41.897999824,-87.629068841
41.90707646,-87.63967773
41.754233178,-87.577263442
41.970452868,-87.671063739
41.843067117,-87.645184534
41.85102174,-87.618954852
41.748484402,-87.667373183
41.866331725,-87.666379171
41.730960457,-87.551279583
41.785161229,-87.620603115
41.891049209,-87.660275136
41.710007045,-87.654827573
41.868541914,-87.639235361
41.975370278,-87.744023432
41.966912491,-87.679620187
41.891694878,-87.626155832
41.78628072,-87.70121479
41.729131993,-87.563358237
41.768091856,-87.620179914
41.765186639,-87.582013664
41.757845754,-87.619915858
41.883079239,-87.749403848
41.747661005,-87.601918534
41.890935742,-87.713740006
41.761895006,-87.564817664
41.964323062,-87.674054057
41.797216684,-87.633066906
41.901547155,-87.666130369
41.908950704,-87.800501462
41.909664252,-87.742728815
41.839672081,-87.660872507
41.72182671,-87.575339397
41.880362084,-87.755847438
41.901902329,-87.736125882
41.955741678,-87.707348042
41.935269281,-87.813980161
41.83106349,-87.62128665
41.981645726,-87.713692572
41.943893401,-87.667567355
41.819429962,-87.619867386
41.904596706,-87.673853365
41.736491541,-87.615385513
41.910909022,-87.688450758
41.9764212,-87.904976266
41.87418995,-87.738579646
41.753070382,-87.66836293
41.756765393,-87.562690836
41.923198801,-87.731628082
41.888968062,-87.773585745
41.808373256,-87.621189516
41.779024407,-87.654489164
41.854459796,-87.715387915
41.806865061,-87.61652231
41.817343927,-87.694882059
41.856858946,-87.667391624
41.87601645,-87.738353416
41.749378743,-87.571068563
41.88360497,-87.707501835
41.702842177,-87.668067742
41.926622091,-87.698229084
41.751832643,-87.558832214
41.947227914,-87.655424114
41.800548184,-87.68543617
41.768607797,-87.615335449
41.7624087,-87.675897826
41.81160287,-87.671125271
41.7661636,-87.584113638
41.752970828,-87.576017557
41.969717153,-87.645352793
41.919522951,-87.682576931
41.774863731,-87.680958152
41.958250389,-87.664609033
42.012107975,-87.697942345
41.834731175,-87.704749033
41.961840239,-87.650232056
41.784366648,-87.653409827
41.775268726,-87.672591663
41.897561962,-87.711501488
41.902725199,-87.71991121
41.716679404,-87.62274113
41.961948442,-87.634920768
41.782622707,-87.65457954
41.903304304,-87.670064675
41.909636288,-87.745300725
41.713792541,-87.623655615
41.735990501,-87.649314828
41.837715449,-87.735306534
41.901236449,-87.720167898
41.735990501,-87.649314828
41.736799138,-87.715007593
41.756330319,-87.552716204
41.841962419,-87.610101064
41.892113068,-87.63259694
41.894229934,-87.618962047
41.900723781,-87.772895364
41.75630429,-87.562681693
41.746990455,-87.602633392
41.785676014,-87.688695286
41.895048138,-87.650610033
41.773349622,-87.584759546
41.829436326,-87.688696736
42.019399237,-87.675049485
41.862895799,-87.711349237
41.954507152,-87.653372774
41.758048954,-87.584570877
41.732106363,-87.603659398
41.873340516,-87.72416505
41.983969039,-87.668860293
41.889519017,-87.6266536
41.895420644,-87.720539406
41.774215543,-87.590057899
41.897137533,-87.730197862
41.772070077,-87.67423383
41.89708255,-87.679535776
